,label,x,y
0,Pt-0,289.4286652891906,1211.554521456814
1,Pt-1,280.96190110021064,964.1855430191944
2,Pt-2,551.3987358823786,878.5613431962158
3,Pt-3,566.6458921320068,620.2422863403646
4,Pt-4,865.9347576740424,734.9643488684152
5,Pt-5,744.1871769924084,742.4045913958014
6,Pt-6,642.9630946378635,718.3605524196222
7,Pt-7,698.8936786687982,553.4276887396439
8,Pt-8,827.6621359587443,461.77796536597504
9,Pt-9,856.5390539644608,608.5723347601308
10,Pt-10,1000.8311310164377,289.6804236966621
11,Pt-11,978.8520052938244,636.5098840864127
12,Pt-12,1175.0686492549682,322.2181981268663
13,Pt-13,1204.6740569104636,466.37690100084313
14,Pt-14,inf,inf
15,Pt-15,1245.947742585348,541.5889930735103
16,Pt-16,inf,inf
17,Pt-17,1504.5545322501112,872.9987082715139
18,Pt-18,1360.9149312063337,1039.836785839595
19,Pt-19,1198.4701272164348,670.5929358237186
20,Pt-20,inf,inf
21,Pt-21,inf,inf
22,Pt-22,1838.9975553254042,459.5695806544004
23,Pt-23,1917.8886828993188,339.8741980332439
24,Pt-24,1722.034255907014,187.73728196396107
25,Pt-25,2094.600577222513,368.8058955905247
26,Pt-26,2337.028567308979,459.3639402820626
27,Pt-27,2274.290000163479,563.3890405207313
28,Pt-28,2352.693122635278,867.8078788669416
29,Pt-29,2176.9101678326856,717.8992169803253
30,Pt-30,2168.244305676918,898.9453821976874
31,Pt-31,2546.222497018012,702.239514067911
32,Pt-32,2628.2418285888234,736.95806692427
33,Pt-33,2316.0930775213533,1064.3806097282015
34,Pt-34,2148.5128670182626,1103.9881106347168
35,Pt-35,1927.4377657960943,1075.17639193777
36,Pt-36,1857.7654274027525,1075.9793476736677
37,Pt-37,1612.2105852234235,1141.081213350441
38,Pt-38,1731.6607043494027,1382.5314886895203
39,Pt-39,1813.4409032765852,1305.845332944518
40,Pt-40,1573.727773822447,1633.1597658272449
41,Pt-41,1449.2280016397126,1303.0553702156758
42,Pt-42,1111.3914027740104,1194.143900864959
43,Pt-43,1020.4435410619857,1592.6925434273007
44,Pt-44,981.5668659261516,1054.382361660676
45,Pt-45,1018.5954018356387,1187.7228339158833
46,Pt-46,752.993974712446,1197.0445524531167
47,Pt-47,719.3078881976369,1383.074617233659
48,Pt-48,595.6388584561439,1456.2746749660719
49,Pt-49,337.2214269433131,1343.3734542831749
50,Pt-50,inf,inf
51,Pt-51,156.27953028571406,1965.941882121649
52,Pt-52,301.95527680373726,2112.5081627342656
53,Pt-53,791.8471145064655,2098.98047302244
54,Pt-54,544.4828158735967,1988.8586355983116
55,Pt-55,624.9055844846156,1703.2362410661785
56,Pt-56,960.9603179506942,2203.5198060507737
57,Pt-57,975.2660910567963,2092.953660002694
58,Pt-58,1447.219447219384,1556.2468107697573
59,Pt-59,1287.7659673742146,1635.9523074941956
60,Pt-60,1012.5973296285683,2513.8929543129066
61,Pt-61,1102.2029084554215,2499.779818176649
62,Pt-62,1379.4601699750783,2448.287435316543
63,Pt-63,1434.0830981815466,1967.3145469356878
64,Pt-64,1576.6168451757146,1676.1689927033995
65,Pt-65,1697.7741679637709,1686.9028512792188
66,Pt-66,2144.89665791925,1373.6883961245678
67,Pt-67,2033.6243958469247,1375.306176535492
68,Pt-68,2107.2792160202193,1568.5958708183919
69,Pt-69,2715.838852995348,976.0363713420935
70,Pt-70,2769.359982864308,1300.9775438345087
71,Pt-71,2822.4775091835545,1242.4536202535849
72,Pt-72,inf,inf
73,Pt-73,inf,inf
74,Pt-74,inf,inf
75,Pt-75,2420.6236303058377,1798.196871021265
76,Pt-76,2306.7885348843442,1680.7785078083405
77,Pt-77,2071.508561443502,1858.399209177808
78,Pt-78,2088.013599025899,2023.2239629365797
79,Pt-79,1895.1104615014826,1780.2165413512698
80,Pt-80,1796.9399214062896,2071.2421167232246
81,Pt-81,1861.9275275197815,2135.5041303776607
82,Pt-82,1961.4554979311388,2053.414793792838
83,Pt-83,1536.704645529096,2740.1146769553416
84,Pt-84,1527.5218353132614,2468.6054185594653
85,Pt-85,1825.0759061393028,2247.4480991159967
86,Pt-86,1897.436866015089,2407.995668065409
87,Pt-87,1600.133019551568,2403.7079037859758
88,Pt-88,1995.2949636331412,2476.2949088085375
89,Pt-89,2080.2406974259934,2473.6948491057415
90,Pt-90,2054.8928831588196,2244.6318195707895
91,Pt-91,2248.673833808107,2163.692216894683
92,Pt-92,2447.9315764056773,2191.2460917617077
